"","date","UNH"
"737",2022-05-10,0.1612
"738",2022-05-11,0.1401
"739",2022-05-12,0.0884
"740",2022-05-13,0.084
"741",2022-05-16,0.0938
"742",2022-05-17,0.0714
"743",2022-05-18,0.0559999999999999
"744",2022-05-19,0.0566
"745",2022-05-20,0.0610000000000001
"746",2022-05-23,0.083
"747",2022-05-24,0.0790999999999999
"748",2022-05-25,0.0629
"749",2022-05-26,0.0356000000000001
"750",2022-05-27,0.0405
"751",2022-05-31,0.0199
"752",2022-06-01,0.0345
"753",2022-06-02,0.0414
"754",2022-06-03,0.024
"755",2022-06-06,0.0403
"756",2022-06-07,0.0257000000000001
"757",2022-06-08,0.0276999999999999
"758",2022-06-09,0.0252
"759",2022-06-10,0.0456000000000001
"760",2022-06-13,0.049
"761",2022-06-14,0.0341
"762",2022-06-15,0.0334
"763",2022-06-16,0.0383
"764",2022-06-17,0.0395000000000001
"765",2022-06-21,0.0443
"766",2022-06-22,0.0631
"767",2022-06-23,0.0983999999999999
"768",2022-06-24,0.1066
"769",2022-06-27,0.0982000000000001
"770",2022-06-28,0.1043
"771",2022-06-29,0.0909
"772",2022-06-30,0.0894
"773",2022-07-01,0.0938000000000001
"774",2022-07-05,0.1231
"775",2022-07-06,0.1131
"776",2022-07-07,0.1307
"777",2022-07-08,0.1288
"778",2022-07-11,0.1268
"779",2022-07-12,0.1245
"780",2022-07-13,0.1387
"781",2022-07-14,0.1288
"782",2022-07-15,0.1048
"783",2022-07-18,0.0975
"784",2022-07-19,0.119
"785",2022-07-20,0.1534
"786",2022-07-21,0.187
"787",2022-07-22,0.1739
"788",2022-07-25,0.1712
"789",2022-07-26,0.1611
"790",2022-07-27,0.1847
"791",2022-07-28,0.203
"792",2022-07-29,0.2088
"793",2022-08-01,0.2008
"794",2022-08-02,0.1748
"795",2022-08-03,0.1687
"796",2022-08-04,0.1945
"797",2022-08-05,0.2143
"798",2022-08-08,0.2304
"799",2022-08-09,0.185
"800",2022-08-10,0.1763
"801",2022-08-11,0.186
"802",2022-08-12,0.2037
"803",2022-08-15,0.2105
"804",2022-08-16,0.2063
"805",2022-08-17,0.2273
"806",2022-08-18,0.2605
"807",2022-08-19,0.257
"808",2022-08-22,0.2488
"809",2022-08-23,0.2302
"810",2022-08-24,0.2419
"811",2022-08-25,0.2283
"812",2022-08-26,0.2196
"813",2022-08-29,0.2235
"814",2022-08-30,0.2412
"815",2022-08-31,0.2501
"816",2022-09-01,0.2716
"817",2022-09-02,0.2656
"818",2022-09-06,0.2616
"819",2022-09-07,0.2364
"820",2022-09-08,0.2043
"821",2022-09-09,0.2087
"822",2022-09-12,0.1954
"823",2022-09-13,0.1764
"824",2022-09-14,0.1645
"825",2022-09-15,0.1526
"826",2022-09-16,0.1467
"827",2022-09-19,0.1485
"828",2022-09-20,0.1456
"829",2022-09-21,0.1254
"830",2022-09-22,0.1227
"831",2022-09-23,0.121
"832",2022-09-26,0.116
"833",2022-09-27,0.1159
"834",2022-09-28,0.1296
"835",2022-09-29,0.1287
"836",2022-09-30,0.1288
"837",2022-10-03,0.1258
"838",2022-10-04,0.1362
"839",2022-10-05,0.124
"840",2022-10-06,0.1357
"841",2022-10-07,0.1539
"842",2022-10-10,0.1504
"843",2022-10-11,0.1353
"844",2022-10-12,0.1319
"845",2022-10-13,0.1542
"846",2022-10-14,0.1665
"847",2022-10-17,0.1395
"848",2022-10-18,0.1074
"849",2022-10-19,0.089
"850",2022-10-20,0.0713
"851",2022-10-21,0.0727
"852",2022-10-24,0.0796999999999999
"853",2022-10-25,0.0816
"854",2022-10-26,0.0826
"855",2022-10-27,0.0739
"856",2022-10-28,0.0745
"857",2022-10-31,0.0807
"858",2022-11-01,0.0763
"859",2022-11-02,0.0751000000000001
"860",2022-11-03,0.0643
"861",2022-11-04,0.0710000000000001
"862",2022-11-07,0.0806000000000001
"863",2022-11-08,0.0906999999999999
"864",2022-11-09,0.0829
"865",2022-11-10,0.0794
"866",2022-11-11,0.0778
"867",2022-11-14,0.0942
"868",2022-11-15,0.1044
"869",2022-11-16,0.1137
"870",2022-11-17,0.1141
"871",2022-11-18,0.1215
"872",2022-11-21,0.1087
"873",2022-11-22,0.1194
"874",2022-11-23,0.1323
"875",2022-11-25,0.1356
"876",2022-11-28,0.1354
"877",2022-11-29,0.1523
"878",2022-11-30,0.1344
"879",2022-12-01,0.1291
"880",2022-12-02,0.1444
"881",2022-12-05,0.1613
"882",2022-12-06,0.1609
"883",2022-12-07,0.1582
"884",2022-12-08,0.1502
"885",2022-12-09,0.16
"886",2022-12-12,0.1747
"887",2022-12-13,0.1849
"888",2022-12-14,0.1894
"889",2022-12-15,0.1878
"890",2022-12-16,0.1877
"891",2022-12-19,0.2083
"892",2022-12-20,0.2078
"893",2022-12-21,0.2095
"894",2022-12-22,0.2013
"895",2022-12-23,0.1996
"896",2022-12-27,0.1973
"897",2022-12-28,0.2011
"898",2022-12-29,0.1916
"899",2022-12-30,0.1756
"900",2023-01-03,0.159
"901",2023-01-04,0.1722
"902",2023-01-05,0.1724
"903",2023-01-06,0.1786
"904",2023-01-09,0.1739
"905",2023-01-10,0.1754
"906",2023-01-11,0.1889
"907",2023-01-12,0.2143
"908",2023-01-13,0.2059
"909",2023-01-17,0.1849
"910",2023-01-18,0.171
"911",2023-01-19,0.1767
"912",2023-01-20,0.183
"913",2023-01-23,0.193
"914",2023-01-24,0.1884
"915",2023-01-25,0.184
"916",2023-01-26,0.1896
"917",2023-01-27,0.2007
"918",2023-01-30,0.2115
"919",2023-01-31,0.2072
"920",2023-02-01,0.1897
"921",2023-02-02,0.2028
