"","date","LTC"
"792",2022-02-19,0.3461
"793",2022-02-20,0.3301
"794",2022-02-21,0.3289
"795",2022-02-22,0.3104
"796",2022-02-23,0.2987
"797",2022-02-24,0.2775
"798",2022-02-25,0.2493
"799",2022-02-26,0.2284
"800",2022-02-27,0.2097
"801",2022-02-28,0.1876
"802",2022-03-01,0.1749
"803",2022-03-02,0.1735
"804",2022-03-03,0.1764
"805",2022-03-04,0.1583
"806",2022-03-05,0.1585
"807",2022-03-06,0.1534
"808",2022-03-07,0.1617
"809",2022-03-08,0.1596
"810",2022-03-09,0.1614
"811",2022-03-10,0.1681
"812",2022-03-11,0.174
"813",2022-03-12,0.1737
"814",2022-03-13,0.1717
"815",2022-03-14,0.1591
"816",2022-03-15,0.1724
"817",2022-03-16,0.1627
"818",2022-03-17,0.1825
"819",2022-03-18,0.1804
"820",2022-03-19,0.1762
"821",2022-03-20,0.178
"822",2022-03-21,0.1907
"823",2022-03-22,0.1973
"824",2022-03-23,0.2103
"825",2022-03-24,0.2079
"826",2022-03-25,0.2027
"827",2022-03-26,0.1996
"828",2022-03-27,0.2108
"829",2022-03-28,0.2088
"830",2022-03-29,0.2167
"831",2022-03-30,0.2244
"832",2022-03-31,0.2215
"833",2022-04-01,0.2365
"834",2022-04-02,0.2406
"835",2022-04-03,0.2223
"836",2022-04-04,0.2353
"837",2022-04-05,0.2426
"838",2022-04-06,0.2474
"839",2022-04-07,0.2319
"840",2022-04-08,0.2392
"841",2022-04-09,0.2433
"842",2022-04-10,0.2552
"843",2022-04-11,0.2628
"844",2022-04-12,0.269
"845",2022-04-13,0.2648
"846",2022-04-14,0.2708
"847",2022-04-15,0.2728
"848",2022-04-16,0.2887
"849",2022-04-17,0.2904
"850",2022-04-18,0.276
"851",2022-04-19,0.2736
"852",2022-04-20,0.2831
"853",2022-04-21,0.2818
"854",2022-04-22,0.2945
"855",2022-04-23,0.2871
"856",2022-04-24,0.2864
"857",2022-04-25,0.28
"858",2022-04-26,0.3019
"859",2022-04-27,0.2941
"860",2022-04-28,0.2944
"861",2022-04-29,0.2919
"862",2022-04-30,0.2965
"863",2022-05-01,0.2948
"864",2022-05-02,0.2967
"865",2022-05-03,0.2832
"866",2022-05-04,0.2908
"867",2022-05-05,0.2893
"868",2022-05-06,0.2971
"869",2022-05-07,0.2965
"870",2022-05-08,0.2951
"871",2022-05-09,0.2778
"872",2022-05-10,0.2761
"873",2022-05-11,0.2782
"874",2022-05-12,0.2791
"875",2022-05-13,0.2693
"876",2022-05-14,0.2908
"877",2022-05-15,0.283
"878",2022-05-16,0.3092
"879",2022-05-17,0.3256
"880",2022-05-18,0.3347
"881",2022-05-19,0.358
"882",2022-05-20,0.3479
"883",2022-05-21,0.3448
"884",2022-05-22,0.3438
"885",2022-05-23,0.3366
"886",2022-05-24,0.3336
"887",2022-05-25,0.3242
"888",2022-05-26,0.3285
"889",2022-05-27,0.3145
"890",2022-05-28,0.3097
"891",2022-05-29,0.3088
"892",2022-05-30,0.3034
"893",2022-05-31,0.3204
"894",2022-06-01,0.3256
"895",2022-06-02,0.3021
"896",2022-06-03,0.2993
"897",2022-06-04,0.2794
"898",2022-06-05,0.2766
"899",2022-06-06,0.2643
"900",2022-06-07,0.2735
"901",2022-06-08,0.2677
"902",2022-06-09,0.2803
"903",2022-06-10,0.2763
"904",2022-06-11,0.262
"905",2022-06-12,0.2511
"906",2022-06-13,0.2602
"907",2022-06-14,0.2597
"908",2022-06-15,0.2713
"909",2022-06-16,0.2707
"910",2022-06-17,0.2586
"911",2022-06-18,0.2488
"912",2022-06-19,0.2477
"913",2022-06-20,0.2539
"914",2022-06-21,0.2578
"915",2022-06-22,0.2521
"916",2022-06-23,0.2406
"917",2022-06-24,0.2425
"918",2022-06-25,0.2626
"919",2022-06-26,0.2501
