"","date","CTLT"
"673",2023-04-18,0.2688
"674",2023-04-19,0.289
"675",2023-04-20,0.2773
"676",2023-04-21,0.2477
"677",2023-04-24,0.2462
"678",2023-04-25,0.2304
"679",2023-04-26,0.236
"680",2023-04-27,0.2553
"681",2023-04-28,0.2928
"682",2023-05-01,0.2961
"683",2023-05-02,0.3051
"684",2023-05-03,0.2934
"685",2023-05-04,0.2893
"686",2023-05-05,0.3199
"687",2023-05-08,0.3204
"688",2023-05-09,0.3243
"689",2023-05-10,0.3303
"690",2023-05-11,0.3322
"691",2023-05-12,0.3325
"692",2023-05-15,0.3323
"693",2023-05-16,0.3096
"694",2023-05-17,0.2682
"695",2023-05-18,0.2891
"696",2023-05-19,0.3231
"697",2023-05-22,0.3411
"698",2023-05-23,0.3343
"699",2023-05-24,0.3276
"700",2023-05-25,0.3198
"701",2023-05-26,0.3267
"702",2023-05-30,0.3318
"703",2023-05-31,0.3405
"704",2023-06-01,0.3458
"705",2023-06-02,0.3428
"706",2023-06-05,0.3469
"707",2023-06-06,0.3389
"708",2023-06-07,0.3209
"709",2023-06-08,0.2756
"710",2023-06-09,0.2578
"711",2023-06-12,0.288
"712",2023-06-13,0.302
"713",2023-06-14,0.3088
"714",2023-06-15,0.2906
"715",2023-06-16,0.2534
"716",2023-06-20,0.2562
"717",2023-06-21,0.2761
"718",2023-06-22,0.2916
"719",2023-06-23,0.2906
"720",2023-06-26,0.2866
"721",2023-06-27,0.2685
"722",2023-06-28,0.2428
"723",2023-06-29,0.2327
